1D,,2D,,p.frac,,d.frac,,
26.19201,0.83073,32.28294,0.87619,28.86024,0.84712,28.72812,0.86247,
26.1247,0.81821,31.98615,0.87281,28.41716,0.83163,27.86712,0.84187,
26.45967,0.83323,32.63177,0.87889,29.02299,0.8471,28.88066,0.86216,
27.20425,0.84411,33.24236,0.89088,30.43223,0.87019,30.12972,0.88495,
27.65423,0.85415,33.65498,0.89721,31.2519,0.88744,30.77747,0.89904,
26.98012,0.83015,32.73934,0.87963,29.71707,0.85266,29.50661,0.86733,
26.54594,0.83832,32.79825,0.88394,29.96327,0.86825,29.54767,0.88326,
26.31306,0.82421,31.85037,0.87309,28.09425,0.82167,27.7159,0.83301,
28.12179,0.85836,34.10188,0.89762,31.29764,0.87947,30.80359,0.88999,
28.42472,0.86659,34.09904,0.89238,31.50071,0.88168,30.95796,0.89292,
27.29523,0.83509,32.85706,0.87505,29.29442,0.8323,28.85105,0.84096,
28.05386,0.85281,33.60539,0.88155,30.72687,0.86359,30.23623,0.87355,
26.37507,0.82118,32.54102,0.87423,28.32262,0.82044,28.09606,0.83572,
28.44747,0.85495,35.31057,0.90593,31.72433,0.86994,31.13232,0.87925,
29.96858,0.86526,36.5652,0.91423,33.52245,0.88995,32.88099,0.89575,
27.39957,0.82549,32.95142,0.87822,29.36748,0.83195,29.07806,0.84399,
27.62019,0.85135,33.42052,0.88597,30.74963,0.87551,30.62819,0.89247,
26.97777,0.86179,33.19638,0.88744,30.46694,0.88016,30.30936,0.89915,
27.50023,0.82977,33.21116,0.88315,30.18419,0.84598,29.82089,0.85963,
25.99377,0.81855,32.17695,0.88323,28.2689,0.82889,28.04254,0.84372,
27.20271,0.8662,33.39564,0.89955,30.63055,0.88833,30.45832,0.90386,
25.5789,0.79055,31.40445,0.85904,27.54759,0.79629,27.41176,0.81807,
25.92679,0.80937,32.1106,0.86558,28.67161,0.83249,28.53535,0.85236,
24.95508,0.8234,31.48206,0.87604,28.38339,0.85757,28.29984,0.87507,
24.4106,0.82309,30.92045,0.86581,27.56262,0.84579,27.79514,0.87166,
26.07115,0.80801,32.30313,0.8745,29.36782,0.8498,29.20026,0.86612,
25.51386,0.79549,30.98046,0.84877,27.48518,0.80331,27.34572,0.8221,
26.97126,0.83978,32.53488,0.87923,29.24028,0.85201,29.17834,0.86944,
26.4757,0.83306,31.94978,0.86702,28.36443,0.83232,28.4358,0.8544,
27.31631,0.84691,32.72161,0.88454,29.70659,0.85438,29.61167,0.87271,
27.21153,0.84665,33.04955,0.88822,29.77344,0.85955,29.62199,0.87675,
26.68085,0.83293,32.25379,0.86653,29.25922,0.84125,29.25021,0.86178,
25.93509,0.81716,31.62332,0.8734,27.85297,0.82328,27.61561,0.83834,
26.56315,0.8319,32.01895,0.87695,28.52007,0.83504,28.35931,0.85095,
28.01029,0.8581,34.57991,0.90629,31.24346,0.88159,31.02101,0.89346,
27.55742,0.87491,33.95803,0.90287,30.28882,0.88627,30.18375,0.90152,
27.09062,0.83447,32.74578,0.88604,29.40547,0.84435,28.8999,0.8538,
26.6916,0.8298,31.99125,0.87204,28.21282,0.82587,28.00122,0.84,
27.75909,0.84929,32.90406,0.88015,30.5384,0.86297,30.22522,0.87799,
28.0353,0.86437,33.96898,0.89769,30.60435,0.87552,30.32172,0.88918,
26.25377,0.82811,31.80918,0.87695,28.03616,0.82857,27.87249,0.8461,
27.52172,0.85102,33.06693,0.88023,30.45951,0.86541,30.04843,0.8779,
27.288,0.83085,32.10432,0.86331,30.03535,0.84991,29.63214,0.85902,
25.15381,0.79666,30.6749,0.84396,26.67677,0.78873,26.25568,0.80408,
24.86973,0.79375,30.49355,0.84506,26.48446,0.79087,26.23356,0.80772,
26.81688,0.81358,32.49094,0.86798,29.53732,0.83325,29.13814,0.84718,
27.26087,0.84143,33.04089,0.87484,29.85085,0.85108,29.51204,0.86591,
27.23092,0.85042,32.64621,0.87326,29.72036,0.85884,29.715,0.87546,
27.10833,0.84343,32.49216,0.8856,28.94001,0.84295,28.80939,0.86082,
28.12815,0.85412,33.24137,0.88516,30.60701,0.86348,30.36111,0.87717,
25.27598,0.8004,30.50603,0.84864,26.61448,0.78624,26.42871,0.80148,
26.57747,0.81906,31.74094,0.85785,29.01183,0.83126,28.93852,0.84871,
25.70626,0.80752,30.98474,0.85366,27.56049,0.80678,27.39537,0.82951,
25.95778,0.80343,31.92455,0.86873,28.13849,0.81383,27.88027,0.83176,
27.03064,0.82115,32.60751,0.86942,29.00135,0.82718,28.55267,0.83888,
27.5868,0.8381,33.66003,0.88363,30.13392,0.85271,29.9542,0.86924,
27.14137,0.82955,33.47569,0.88869,29.78606,0.85152,29.31306,0.85903,
27.2921,0.8372,33.31939,0.88045,29.98711,0.85073,29.8458,0.86866,
28.28958,0.85127,33.83274,0.89105,30.55954,0.86509,30.40581,0.87708,
26.71523,0.85224,33.01682,0.89726,30.22334,0.87703,30.09549,0.89327,
26.24016,0.85418,32.64923,0.89131,30.08188,0.8792,29.97415,0.89678,
25.31702,0.79168,31.16947,0.86475,27.1163,0.80774,26.76399,0.82141,
25.3487,0.78516,31.31991,0.86616,27.5262,0.81334,27.37966,0.83548,
26.36728,0.81031,31.85874,0.87176,28.64618,0.82755,28.17583,0.83918,
25.61647,0.80122,31.80748,0.87124,27.81813,0.82269,27.76703,0.84128,
26.48376,0.82338,32.39275,0.8797,29.19399,0.84161,28.9466,0.85698,
26.91784,0.83883,32.89343,0.88837,29.48859,0.85072,29.16061,0.87002,
24.90311,0.82175,32.30635,0.86633,28.88485,0.84679,28.49361,0.85435,
26.68961,0.84544,33.74496,0.90219,30.48048,0.88001,30.27883,0.88645,
27.80302,0.8402,33.67672,0.88881,30.48506,0.86058,30.16135,0.87342,
26.70149,0.83551,32.78485,0.87939,29.60659,0.85746,29.21362,0.87256,
25.21902,0.78991,30.17863,0.84939,26.51635,0.78456,26.27574,0.80055,
25.65779,0.83619,31.95098,0.87332,28.46163,0.84793,28.54403,0.87136,
25.21051,0.8268,31.28521,0.8738,27.16456,0.8273,27.24835,0.85002,
26.22181,0.84222,32.51443,0.88172,29.10593,0.85974,29.01977,0.87806,
26.20202,0.84442,32.59651,0.87759,29.00996,0.85881,28.83653,0.87715,
27.43639,0.85937,32.70278,0.87796,30.18481,0.86743,30.38951,0.88858,
26.84014,0.8369,32.71963,0.878,29.42317,0.8481,29.29968,0.8662,
26.65145,0.82014,32.69893,0.87967,28.68082,0.82835,28.37523,0.83774,
28.7587,0.88055,36.22071,0.91875,33.13688,0.91174,32.59281,0.91816,
26.70055,0.83282,32.68133,0.87959,29.21948,0.8438,29.06667,0.86118,
28.2479,0.86412,33.08792,0.88664,30.80727,0.87331,30.65769,0.89071,
25.3745,0.81226,31.11532,0.86633,27.4199,0.81837,27.21979,0.83679,
25.64952,0.82237,31.44793,0.87023,27.60822,0.82356,27.57494,0.84298,
26.02574,0.83117,31.91251,0.87288,28.17641,0.83316,28.07893,0.84893,
26.44063,0.82986,32.20473,0.86837,28.64634,0.83066,28.51056,0.84833,
28.03292,0.84333,33.37112,0.885,30.40668,0.85382,30.16718,0.8654,
27.77374,0.83577,33.63368,0.88891,30.39905,0.85405,30.1578,0.86894,
26.95946,0.84712,33.09769,0.89321,30.00334,0.86594,29.78376,0.88223,
27.66954,0.85447,32.98826,0.88982,30.70737,0.88045,30.55776,0.89344,
26.21142,0.80953,31.86189,0.86808,28.29054,0.82062,28.09803,0.83586,
27.38915,0.84499,32.75803,0.87786,29.76918,0.85282,29.64585,0.87256,
24.64606,0.77826,30.17283,0.84331,26.48317,0.77942,26.31983,0.79901,
25.94215,0.81496,30.89874,0.8587,27.8737,0.81381,27.71017,0.8324,
26.31858,0.84474,32.43901,0.87833,29.78951,0.87067,29.47068,0.88485,
26.00857,0.79484,30.91163,0.84442,27.79957,0.78051,27.58045,0.80055,
26.24436,0.79397,31.02691,0.84386,27.87459,0.7817,27.57279,0.79581,
26.03315,0.80916,31.10461,0.85113,28.18558,0.81288,28.04905,0.83284,
25.72115,0.80012,30.9825,0.85372,27.46962,0.80035,27.03448,0.8119,
26.27725,0.82415,31.92905,0.86818,29.06016,0.84812,28.75869,0.86508,
26.77492,0.81438,32.2903,0.87469,28.94953,0.83153,28.77763,0.85045,
26.37003,0.8368,32.28258,0.87429,29.0932,0.85009,28.73553,0.86678,
26.84153,0.8486,33.19213,0.88489,29.66125,0.86567,29.6269,0.88217,
25.75312,0.84667,32.1091,0.87815,28.31382,0.8564,28.64911,0.88112,
24.58773,0.79559,30.53888,0.86246,26.36316,0.8027,26.15666,0.82126,
25.07187,0.8127,30.79307,0.85999,26.76998,0.8103,26.67518,0.82756,
25.34708,0.82903,30.95588,0.86016,27.67833,0.83386,27.99682,0.86109,
26.57194,0.83701,32.36104,0.87192,29.10811,0.84887,28.85442,0.86847,
25.12183,0.79177,30.76385,0.86438,26.99932,0.80924,26.78819,0.82605,
25.59681,0.79799,31.57046,0.87063,27.59961,0.8174,27.25044,0.83163,
25.23623,0.7984,31.10776,0.86502,26.975,0.80731,26.84184,0.83051,
26.3632,0.82619,32.26838,0.87641,28.80506,0.84232,28.66211,0.86218,
27.74251,0.8346,32.95975,0.87839,30.51093,0.85926,30.09162,0.87005,
27.3747,0.84635,32.75272,0.88474,29.9351,0.8626,29.70497,0.87681,
27.45595,0.85753,33.17221,0.88911,30.33768,0.87184,30.00281,0.88517,
26.83188,0.86193,33.4395,0.89472,30.57236,0.88224,30.50714,0.8979,
26.8563,0.81222,32.29219,0.87434,28.86877,0.82087,28.63938,0.83366,
26.55856,0.83182,31.65723,0.86853,28.1849,0.82779,28.17096,0.84808,
26.99714,0.83622,31.93086,0.8684,28.80287,0.83575,28.55037,0.84975,
26.51958,0.8311,31.97562,0.87522,28.52042,0.83354,28.29383,0.85289,
28.2278,0.85629,33.88917,0.89309,31.10526,0.87516,30.83205,0.88828,
26.65864,0.87482,33.59177,0.90084,30.54561,0.89012,30.3641,0.90456,
26.46697,0.83913,32.28632,0.88155,28.4436,0.83819,28.41946,0.85827,
27.58183,0.85563,33.64836,0.8932,30.80765,0.87277,30.72183,0.88993,
27.60508,0.86471,33.47381,0.89701,30.79263,0.88395,30.5505,0.8985,
26.4111,0.85485,33.27122,0.90122,30.05989,0.88329,30.03149,0.90103,
25.85895,0.81689,32.14826,0.88132,28.22651,0.83272,28.08681,0.84941,
26.05894,0.84032,31.85898,0.88162,27.76715,0.83849,27.3528,0.85219,
25.98071,0.84188,32.52217,0.88368,29.0101,0.85898,28.83365,0.87749,
26.65859275,0.829847313,32.51743775,0.877618938,29.2645275,0.845504375,29.04374613,0.861229625,average
