1D,,2D,,p.frac,,d.frac,,
PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,
26.62297,0.83971,32.44902,0.87715,28.59089,0.83996,28.44892,0.85685,
27.366,0.84907,33.07552,0.88507,29.77418,0.85431,29.41736,0.86578,
28.90339,0.86401,33.9805,0.89619,31.67331,0.87649,31.34181,0.88612,
28.35887,0.86616,33.58403,0.89174,31.34369,0.88143,31.24477,0.89541,
29.02549,0.87566,34.14078,0.89823,32.09263,0.89153,31.95716,0.90444,
25.88171,0.82639,32.23015,0.87941,27.9915,0.83027,27.72164,0.84571,
27.46395,0.85074,33.08765,0.88652,30.41318,0.86799,30.25487,0.88188,
28.53816,0.86549,33.18794,0.88474,30.97733,0.87131,30.73201,0.88583,
29.00172,0.85679,34.53771,0.88721,32.26311,0.87571,31.81301,0.88621,
28.53655,0.85937,33.60411,0.87979,31.09274,0.868,30.73198,0.87891,
27.67653,0.85149,33.26717,0.88569,30.89439,0.86762,30.45837,0.87962,
27.68045,0.86124,33.5956,0.88754,31.36651,0.87869,31.25625,0.89389,
23.80918,0.64395,30.50752,0.84439,26.73054,0.78387,26.58963,0.80496,
22.37806,0.64182,31.60888,0.85509,28.54013,0.82794,28.48368,0.85117,
24.77991,0.76343,30.53798,0.85127,26.94055,0.79214,26.63518,0.80753,
24.17261,0.7813,31.45097,0.86999,27.46407,0.83397,27.431,0.85983,
25.72488,0.74286,32.43773,0.85725,28.66613,0.79835,28.19515,0.81347,
25.86208,0.75054,32.65334,0.86317,29.12869,0.81102,28.64206,0.8207,
25.92689,0.83415,33.56517,0.89469,29.30159,0.85368,28.92475,0.86531,
25.69229,0.80925,31.44491,0.86612,28.13854,0.81993,27.80192,0.83906,
27.48799,0.84688,32.74995,0.8798,29.92219,0.85545,29.39024,0.86419,
27.45493,0.84555,33.04392,0.88057,30.52626,0.8642,30.24692,0.87667,
27.28627,0.83869,33.05991,0.88998,30.61706,0.8708,30.4722,0.88658,
27.18196,0.85153,32.91216,0.88546,30.24051,0.87636,30.12929,0.88988,
26.63614,0.8087,32.57481,0.87197,28.86319,0.82097,28.57594,0.83671,
26.26304,0.82965,31.98486,0.87229,28.5526,0.83303,28.29236,0.85323,
27.21665,0.8566,33.38712,0.8955,30.48521,0.88416,30.29871,0.8993,
26.67481,0.82791,33.13779,0.88265,30.62502,0.8674,30.41306,0.88485,
26.68513,0.85522,32.67705,0.88623,29.8525,0.87575,29.94595,0.89418,
26.61318,0.82923,32.5914,0.8829,29.29857,0.84994,29.14241,0.86671,
26.58257,0.83557,32.27511,0.87405,28.93897,0.84615,28.77962,0.86327,
