1D,,2D,,p.frac,,d.frac,,
PSNR,SSIM,PSNR,SSIM,41.4402,0.96914,PSNR,SSIM,
41.00214,0.98073,38.81096,0.93779,42.38886,0.97238,41.64526,0.96493,
41.24915,0.98231,39.12459,0.93924,44.34428,0.97747,42.40017,0.9682,
43.1128,0.98526,39.79586,0.94023,43.94855,0.97531,44.20695,0.97396,
42.18961,0.98282,39.305,0.9356,44.60172,0.97739,44.00552,0.97204,
42.87239,0.98426,39.44569,0.93704,40.66731,0.97182,44.57523,0.97348,
40.85827,0.98331,37.92801,0.93072,42.99256,0.97552,41.70826,0.96915,
41.54247,0.98364,38.9377,0.93756,43.67206,0.97579,42.93787,0.97149,
41.97829,0.98322,38.82195,0.93143,43.88947,0.97539,43.71965,0.97246,
42.80756,0.98308,39.96985,0.94052,43.26653,0.97391,43.94492,0.97247,
41.98517,0.98168,38.89075,0.9299,42.7632,0.97352,43.4004,0.97034,
41.6548,0.98196,38.52886,0.92822,43.79339,0.97432,43.13429,0.97026,
41.4433,0.98025,38.01929,0.91661,39.29193,0.96373,43.64419,0.96977,
38.51175,0.97609,36.32877,0.91062,41.17394,0.96835,39.53337,0.95885,
39.5365,0.97821,37.43485,0.92152,39.40907,0.96497,41.23077,0.96424,
38.54109,0.97707,36.3889,0.9133,41.10774,0.96938,39.38271,0.95933,
39.13514,0.97912,37.20823,0.92123,40.62563,0.96469,41.00934,0.96431,
41.20344,0.98282,38.22969,0.92812,41.28836,0.96828,40.87023,0.96112,
41.56264,0.98444,38.73735,0.93227,43.71824,0.97794,41.29801,0.96386,
42.54179,0.98781,39.42793,0.94148,41.43499,0.96929,43.90129,0.97401,
40.35582,0.98056,36.93305,0.91825,42.17477,0.97155,41.67785,0.96453,
41.22976,0.98172,38.47578,0.93372,42.84493,0.973,42.18711,0.96854,
41.58078,0.98244,39.15075,0.9372,42.91761,0.97436,42.80083,0.96936,
41.8383,0.98416,39.10506,0.93949,43.16563,0.9748,43.26996,0.97242,
41.56111,0.98372,39.34925,0.94157,42.36465,0.97431,43.32363,0.97146,
41.21093,0.9837,38.39535,0.93287,41.33769,0.97043,42.56452,0.96971,
40.61413,0.98229,37.99527,0.92986,43.82205,0.97711,41.31258,0.96583,
41.93901,0.9846,39.64476,0.94378,43.01817,0.97555,43.75214,0.973,
41.66057,0.98393,38.67344,0.93326,43.44948,0.97618,42.91459,0.972,
41.31341,0.98395,38.70632,0.93452,41.78633,0.97449,43.40451,0.97233,
41.05949,0.98443,38.372,0.93688,41.42651,0.97088,41.90424,0.97046,
40.85571,0.98307,37.98412,0.93349,41.52074,0.97103,41.84803,0.96747,
40.68917,0.98257,38.07167,0.93248,41.88908,0.97274,41.64753,0.96684,
40.58885,0.98203,37.86757,0.93171,41.74421,0.97264,41.85594,0.96676,
40.98172,0.98384,38.19004,0.93393,43.37484,0.97707,41.71523,0.96879,
41.9005,0.98554,38.73839,0.93636,44.41918,0.97926,43.16401,0.97281,
42.5156,0.98626,39.56686,0.94453,42.36061,0.9744,44.39095,0.97539,
40.99007,0.98296,38.39393,0.93123,43.12463,0.97565,42.14561,0.96938,
41.00137,0.98289,38.37995,0.93307,41.0687,0.97012,43.00927,0.97061,
40.13057,0.9804,37.59508,0.92486,43.76345,0.97586,41.1419,0.96552,
42.43575,0.98518,39.18377,0.93704,44.34219,0.97701,43.84482,0.972,
42.44217,0.98429,39.16627,0.93374,40.22051,0.96711,44.24191,0.97241,
40.69377,0.98033,38.42255,0.93347,42.22837,0.97105,40.96511,0.96476,
41.53405,0.98167,39.09418,0.93613,41.1425,0.96962,42.19332,0.96675,
40.81161,0.98223,37.7669,0.92899,44.35026,0.9763,41.7033,0.96564,
43.64938,0.98694,40.2262,0.94491,45.79553,0.98049,44.40926,0.97348,
45.00227,0.98925,41.33334,0.95008,41.79402,0.97205,45.88438,0.97742,
41.427,0.98288,39.10051,0.93701,43.72788,0.97543,41.86356,0.96818,
41.83146,0.98279,39.31935,0.93736,43.53825,0.97422,43.59405,0.97126,
41.48506,0.98211,38.68834,0.93375,41.64196,0.97133,43.60042,0.96975,
41.45653,0.98212,39.19619,0.9371,40.39944,0.97116,41.89687,0.96843,
40.7566,0.98445,38.30569,0.93574,44.43779,0.97775,40.97316,0.96849,
41.87931,0.98451,39.0258,0.93894,39.3424,0.96582,44.20534,0.97331,
39.34383,0.98061,37.55305,0.92499,41.3698,0.96884,39.56799,0.96187,
39.95757,0.97843,38.28274,0.92878,41.01716,0.96866,41.58062,0.9642,
39.53076,0.97985,37.34092,0.92253,40.60236,0.9659,41.24269,0.96428,
38.75444,0.97712,36.61093,0.91364,41.22689,0.97064,40.63878,0.96058,
40.07741,0.98056,38.25021,0.9329,40.46838,0.96624,41.49171,0.96661,
39.00737,0.97556,36.15728,0.90757,41.91331,0.97304,40.51691,0.96074,
40.67131,0.98234,38.46173,0.93473,40.57064,0.9672,42.10033,0.96893,
39.76612,0.97956,37.14396,0.92418,42.61235,0.9754,40.83881,0.96395,
41.21267,0.98377,38.49225,0.93138,42.8082,0.97575,42.54132,0.97102,
41.20382,0.98388,38.394,0.92977,41.61795,0.96986,42.95537,0.97194,
40.11948,0.97919,36.56475,0.90459,40.81079,0.9713,41.81448,0.96614,
40.2997,0.98371,37.75297,0.9254,40.78267,0.9702,40.53385,0.96618,
40.67475,0.98356,38.16997,0.93057,44.80348,0.978,40.98027,0.96708,
43.06817,0.98676,40.01651,0.9444,44.47933,0.97661,44.63993,0.97384,
42.34822,0.98516,39.41006,0.94141,41.17517,0.97145,44.3013,0.97207,
41.21691,0.98398,38.90316,0.93894,40.41613,0.96873,41.36962,0.968,
40.44741,0.98231,38.06718,0.93076,42.87856,0.97403,40.89816,0.9652,
41.63105,0.98376,38.46423,0.92655,43.98032,0.9765,42.68652,0.96888,
42.26415,0.98499,39.70266,0.94336,40.13324,0.96931,43.9009,0.97224,
40.6365,0.98439,38.01382,0.93217,42.87537,0.97307,40.8215,0.96707,
41.68841,0.98376,38.17308,0.9247,42.30722,0.97314,43.20244,0.97087,
41.332,0.98271,35.34719,0.87536,38.09501,0.95537,42.30788,0.97017,
38.38108,0.97516,36.46,0.90999,37.90118,0.95429,38.09409,0.94952,
38.09842,0.97468,36.2091,0.90926,40.77466,0.96826,38.01304,0.94834,
40.36,0.97913,37.59392,0.91586,42.25627,0.971,41.06623,0.96449,
41.00007,0.97906,38.43803,0.92442,42.11168,0.97077,42.26845,0.96587,
40.33715,0.97765,37.58624,0.91706,41.14466,0.97229,42.23778,0.96581,
40.9161,0.98457,38.06858,0.93082,43.14392,0.97471,41.18601,0.96821,
41.80774,0.98413,38.68759,0.93065,38.11544,0.96079,43.20336,0.97056,
38.6213,0.97773,36.75634,0.9181,41.1756,0.96839,38.69275,0.95701,
40.3679,0.97997,36.97021,0.91256,39.79304,0.96557,41.29003,0.96408,
38.87777,0.97797,36.28613,0.91172,40.4301,0.96924,39.98928,0.96106,
39.89343,0.98071,37.72569,0.92435,41.63823,0.96951,40.60878,0.96495,
40.89903,0.98084,38.19897,0.93097,42.42783,0.97036,41.99634,0.96477,
41.45006,0.98208,39.43744,0.94122,42.67862,0.97443,42.69679,0.96922,
41.92995,0.98443,39.56726,0.94572,42.40112,0.97272,42.94526,0.97091,
41.51853,0.98268,39.15398,0.93911,43.21047,0.97532,42.45268,0.96819,
42.15509,0.98451,39.66145,0.94259,44.01659,0.97688,43.47759,0.97217,
41.35046,0.98444,38.5812,0.93485,43.45535,0.97488,43.8493,0.97382,
40.80803,0.98294,37.98142,0.92934,38.77557,0.96355,43.74134,0.9719,
39.18892,0.98051,37.12809,0.9235,39.19967,0.96501,39.64435,0.96082,
