1D,,2D,,p.frac,,d.frac,,
39.30042,0.98055,37.05394,0.92025,40.2751,0.96753,39.41352,0.96043,
39.98932,0.98154,37.82833,0.92932,39.94729,0.96726,40.41487,0.96275,
39.64258,0.98094,37.29877,0.92248,41.02463,0.96988,40.0768,0.96224,
40.30577,0.98199,37.71538,0.92636,42.32624,0.97281,40.82472,0.96552,
40.52769,0.982,38.36828,0.93382,41.08335,0.96413,42.60077,0.96893,
39.60265,0.97459,36.01896,0.89715,44.26667,0.97781,41.33432,0.95971,
41.85436,0.98502,39.0776,0.93565,43.17894,0.97558,44.31743,0.97421,
41.85634,0.98384,39.27798,0.93883,42.41877,0.97324,43.5009,0.97289,
40.87643,0.98187,38.2589,0.92947,38.00298,0.96064,42.64493,0.97018,
37.93686,0.97629,35.92409,0.90643,41.79307,0.9711,38.17015,0.95563,
39.97824,0.98196,36.82882,0.91529,40.71207,0.96988,41.93133,0.96765,
39.76988,0.98257,37.2104,0.92707,42.24419,0.97358,40.93648,0.96637,
40.53984,0.98305,37.48463,0.92289,42.18499,0.97392,42.35647,0.97063,
40.62042,0.98326,38.02771,0.92767,42.73794,0.97367,42.36909,0.97036,
41.27747,0.98253,38.56176,0.93162,41.91341,0.97207,42.98928,0.97073,
40.83245,0.98237,38.11363,0.92724,41.81733,0.97244,42.18204,0.96857,
41.9468,0.9862,39.10647,0.94268,46.97316,0.98347,42.3328,0.96947,
45.29232,0.9909,41.81894,0.95731,41.73436,0.97291,46.96645,0.98091,
40.77304,0.98283,38.03337,0.92528,43.44605,0.97646,41.86201,0.9707,
41.79246,0.98374,39.0812,0.93661,39.98831,0.96791,43.44278,0.97258,
39.34229,0.98062,36.98912,0.92554,39.98569,0.9668,40.09016,0.9629,
39.60109,0.98111,37.6557,0.93122,40.55083,0.9687,40.41737,0.96231,
40.07439,0.98218,37.95,0.93387,40.73738,0.96747,40.8078,0.96394,
40.28978,0.98108,37.89579,0.92994,43.06975,0.97506,40.79744,0.96321,
41.83095,0.98387,39.38639,0.94228,42.74062,0.97434,43.01488,0.97052,
41.881,0.98423,39.35378,0.9416,43.67858,0.97668,42.8537,0.97127,
41.61222,0.9845,38.97747,0.94086,44.24122,0.97758,43.74939,0.97245,
42.00991,0.98493,38.90284,0.93636,40.27977,0.96773,44.31596,0.97361,
39.92899,0.97935,37.73267,0.93062,42.38083,0.97163,40.42293,0.96341,
40.89103,0.98112,38.65056,0.9362,38.59705,0.96081,42.59223,0.96746,
38.66415,0.97741,36.22904,0.91163,39.24436,0.96536,38.49798,0.95445,
38.9502,0.97824,36.76839,0.91158,43.17276,0.97408,39.28529,0.96122,
40.87624,0.98256,37.71534,0.92173,39.18694,0.95939,43.0815,0.96892,
39.56402,0.97931,36.30503,0.90084,39.20994,0.95879,39.38634,0.95201,
39.62838,0.9789,36.31805,0.90086,41.02237,0.96987,39.32545,0.95129,
39.98449,0.97991,35.39981,0.88229,40.28888,0.9671,40.92031,0.96436,
39.52178,0.97954,36.42572,0.90363,42.07203,0.97362,40.50851,0.96144,
40.84811,0.98349,37.73961,0.9212,41.61156,0.97258,42.10617,0.96941,
40.91227,0.98352,38.37408,0.93209,41.2524,0.97129,41.6177,0.96838,
39.73916,0.97979,37.46193,0.92099,42.49088,0.97526,41.42731,0.96737,
40.56447,0.9824,38.75369,0.93482,41.87558,0.97104,42.53504,0.97083,
39.56197,0.97907,37.44756,0.92257,38.37293,0.96432,42.20058,0.96708,
38.28799,0.97878,36.10459,0.91343,38.61071,0.96248,38.55399,0.95972,
38.76207,0.97894,36.63995,0.91707,40.1814,0.96585,39.06697,0.95885,
38.83154,0.97783,36.14659,0.90591,41.96899,0.9724,40.2562,0.96162,
40.0508,0.98058,37.78382,0.92534,39.85651,0.97006,41.7704,0.96738,
39.36036,0.98252,36.78037,0.91996,40.8478,0.97195,40.22161,0.96507,
40.04221,0.98344,37.70869,0.92592,40.09887,0.96897,40.94165,0.96672,
39.91659,0.98352,37.39922,0.92496,42.10965,0.9743,40.14704,0.96432,
40.97314,0.98478,37.86524,0.92538,43.26415,0.97652,42.07426,0.97115,
42.31933,0.98613,38.02955,0.91455,42.16216,0.97459,43.48864,0.97397,
41.36381,0.98403,38.19743,0.92901,42.80112,0.97443,42.29373,0.97106,
41.4333,0.98358,38.58964,0.93373,43.79112,0.97455,42.83728,0.97007,
41.79531,0.98374,38.91984,0.9295,41.71952,0.97223,43.82138,0.97092,
41.06488,0.98238,37.64421,0.92073,40.64105,0.9695,41.74454,0.96794,
40.17804,0.98224,38.00759,0.929,41.13423,0.96986,40.89977,0.96489,
40.48641,0.9821,37.93783,0.92722,40.87486,0.97123,41.22071,0.96535,
40.64132,0.98352,38.05793,0.93099,44.18798,0.97759,41.06391,0.96745,
42.72355,0.98478,39.69678,0.94023,44.31379,0.97769,43.95928,0.97284,
41.75392,0.9851,39.02485,0.93729,41.56549,0.97379,44.19644,0.97341,
40.68773,0.9839,37.61275,0.92645,44.09685,0.97829,41.9377,0.97091,
42.3768,0.98545,39.8627,0.94474,44.34656,0.97951,43.86686,0.97437,
42.322,0.9868,39.50356,0.94377,44.20805,0.97806,44.33618,0.9755,
41.94157,0.98639,38.84999,0.93833,42.00328,0.97494,43.97553,0.97357,
40.77828,0.98385,37.74869,0.9256,41.6458,0.9738,42.37518,0.97114,
40.26609,0.98411,37.89073,0.93547,42.49692,0.97447,41.85279,0.96987,
40.82304,0.98422,38.13372,0.93178,41.90627988,0.971683875,42.28549,0.97083,
40.853347,0.98230575,38.157339,0.928524938,41.90919287,0.971699774,42.02592438,0.967625875,Average
