1D,,2D,,p.frac,,d.frac,,
PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,
32.80983,0.92923,34.07524,0.88445,33.31698,0.91223,33.01208,0.89293,
32.93345,0.93476,34.74836,0.88917,34.08339,0.92061,33.81488,0.90424,
33.19481,0.93414,34.21443,0.88209,34.20957,0.92735,33.98087,0.91069,
33.00209,0.94188,34.4671,0.90417,33.05666,0.92171,32.632,0.9059,
34.26146,0.94464,35.08715,0.8999,35.03339,0.9313,34.87509,0.91914,
30.65556,0.91971,32.66814,0.87902,30.69084,0.89237,30.40556,0.87779,
32.89735,0.93257,33.36134,0.8751,33.44224,0.91623,32.95673,0.89908,
31.42453,0.92582,32.92524,0.88056,31.76639,0.90374,31.52668,0.89058,
32.39073,0.93305,33.85464,0.89156,32.18639,0.90806,32.0545,0.89135,
32.65655,0.92812,34.54255,0.89113,33.11224,0.91197,32.84433,0.89257,
33.74947,0.93974,35.56117,0.90316,34.6395,0.9254,34.24401,0.91109,
33.80768,0.94349,35.35482,0.90609,33.94498,0.9257,33.75635,0.91054,
33.82375,0.94241,35.30951,0.9023,34.31477,0.92312,34.06182,0.91326,
34.46035,0.9457,35.73148,0.90666,35.33566,0.93638,34.92824,0.92135,
33.84772,0.95292,35.29501,0.91417,35.21336,0.93451,34.92353,0.92734,
33.38753,0.95281,35.04335,0.91021,35.14837,0.93521,34.93216,0.9256,
31.2741,0.92941,33.33344,0.89093,30.89156,0.89258,30.49868,0.88057,
31.58122,0.93168,33.50573,0.89151,31.26698,0.8964,31.02376,0.88882,
32.42892,0.93613,33.85151,0.8948,32.27253,0.90895,32.05091,0.89465,
31.6762,0.93145,33.64095,0.89124,32.00016,0.91207,31.58259,0.89496,
33.00663,0.93829,34.40092,0.90076,33.03878,0.91464,32.7053,0.89843,
32.88863,0.94,34.86575,0.90417,33.43304,0.92403,33.73884,0.91157,
31.97774,0.93121,34.12958,0.88386,32.63543,0.84243,33.03524,0.89802,
33.58818,0.95052,35.67968,0.91374,35.03051,0.90071,35.05732,0.92609,
34.20614,0.94535,35.50742,0.90446,34.90165,0.92972,34.68906,0.91505,
33.44615,0.94531,34.82838,0.89826,34.08535,0.92864,33.79459,0.91257,
30.5752,0.91716,32.42804,0.87511,30.08954,0.88796,29.81012,0.86941,
32.3923,0.94559,33.81951,0.88818,33.62802,0.92873,33.16247,0.91586,
31.50624,0.93935,33.60277,0.89407,32.03764,0.91767,31.69555,0.90683,
33.02347,0.94763,34.47421,0.89442,34.02714,0.93224,33.52,0.92087,
33.0522,0.94675,34.44691,0.89229,34.02854,0.9345,33.64044,0.92144,
34.28751,0.94847,34.57737,0.89154,35.15213,0.93359,34.54799,0.92392,
33.2301,0.94329,34.76723,0.8995,33.91742,0.92657,33.67824,0.91373,
33.13709,0.94022,35.09524,0.90553,33.52155,0.92344,32.82235,0.90227,
36.18008,0.96269,37.74862,0.92502,38.49157,0.96002,38.08591,0.94588,
32.64035,0.9383,34.65487,0.90327,33.62712,0.92159,33.57551,0.91129,
34.96182,0.95166,35.07817,0.90057,35.61598,0.93958,35.0517,0.92663,
31.69116,0.93263,33.46443,0.89284,31.38582,0.90913,31.22437,0.89271,
31.74397,0.93473,33.85893,0.89549,31.82987,0.90759,31.50134,0.89353,
32.10801,0.93588,34.27779,0.89926,32.29518,0.90962,32.11082,0.89921,
32.6095,0.93411,34.29318,0.89555,32.95189,0.91206,32.46527,0.89905,
34.23793,0.94169,35.49304,0.907,34.76726,0.92683,34.43444,0.91481,
34.35476,0.94466,35.56286,0.91001,34.70744,0.92832,34.41365,0.91341,
33.95703,0.9498,35.11454,0.9075,34.52858,0.93637,34.68942,0.92358,
34.1621,0.95024,35.19412,0.90196,36.0619,0.94552,35.40236,0.92856,
32.05709,0.92622,34.01928,0.89621,32.4513,0.90654,32.20061,0.89363,
33.51757,0.93934,34.68755,0.89363,34.55289,0.92701,34.23294,0.91599,
30.79486,0.9149,32.61204,0.8766,30.59752,0.88939,30.2376,0.86689,
31.97416,0.92919,33.11192,0.8814,31.99271,0.90484,31.56321,0.88878,
33.02698,0.94441,33.9965,0.88132,35.12679,0.93823,34.45976,0.91921,
31.95724,0.92469,33.10137,0.87307,31.77776,0.88521,31.41876,0.86541,
31.85994,0.92116,32.87523,0.86907,31.63534,0.88165,31.46015,0.86412,
32.00364,0.92528,32.53901,0.85822,32.82072,0.9087,32.32092,0.88814,
31.5281,0.92496,32.95251,0.87472,31.83143,0.90029,31.35269,0.87937,
32.73954,0.94093,33.93576,0.88533,33.70418,0.9297,33.56051,0.915,
33.21167,0.94143,34.28036,0.89534,33.40862,0.9227,33.17768,0.90694,
32.23999,0.93779,34.27323,0.89063,33.53844,0.92458,32.98205,0.91101,
33.25403,0.94579,35.0519,0.90059,34.58601,0.93472,34.00745,0.92122,
31.94496,0.94181,34.11521,0.88854,33.50461,0.92962,33.34148,0.91694,
30.66322,0.92753,32.68845,0.88656,30.20383,0.89525,30.18433,0.88567,
31.22693,0.92956,32.95958,0.88478,30.91765,0.90173,30.41056,0.88641,
31.62941,0.9327,32.95485,0.87805,32.19599,0.91543,31.74884,0.90292,
32.78679,0.94167,34.33154,0.88713,33.84011,0.92474,33.27552,0.91224,
31.21736,0.93199,33.02969,0.88685,31.53834,0.91191,31.0675,0.89213,
31.77183,0.93649,33.84101,0.89084,32.01612,0.91463,31.72196,0.89651,
31.53608,0.93507,33.39664,0.89057,31.3234,0.90796,31.22258,0.89446,
33.15493,0.94695,34.21868,0.89518,33.59871,0.92806,33.41062,0.91268,
33.91833,0.94209,34.46307,0.88814,35.24322,0.93862,34.75752,0.91924,
33.82821,0.94763,34.91,0.90385,34.29316,0.93288,33.76482,0.91565,
34.17455,0.94931,35.06954,0.90361,34.92747,0.93588,34.48957,0.9222,
34.36522,0.95639,35.46899,0.9048,35.47767,0.93182,35.38616,0.92302,
32.82972,0.92879,34.36923,0.89857,33.26645,0.90922,32.82883,0.8915,
32.31052,0.93678,33.95626,0.89414,32.5167,0.91795,32.24628,0.90059,
33.11225,0.9412,34.10809,0.89532,33.27557,0.92104,32.85214,0.90489,
32.91741,0.94157,34.2219,0.89946,32.96508,0.92015,32.69831,0.90481,
35.34845,0.9523,35.75443,0.90487,36.15575,0.94186,35.63794,0.92651,
34.38746,0.95999,35.59472,0.90854,36.19447,0.94738,35.87986,0.93506,
32.43303,0.93837,34.43938,0.90224,33.40545,0.92418,32.94298,0.91007,
34.87828,0.95283,35.7105,0.90573,36.01191,0.9397,35.5405,0.92895,
34.84604,0.95904,35.57453,0.90775,35.82544,0.94445,35.68362,0.93505,
33.90702,0.9572,35.4194,0.91224,35.35003,0.94161,35.17513,0.93101,
32.55743,0.93998,34.34916,0.90418,33.16545,0.92152,32.83347,0.90742,
32.12912,0.94381,34.02242,0.89918,32.62218,0.92585,32.2212,0.91256,
32.99702,0.94767,34.63876,0.89936,34.03189,0.9332,33.67844,0.92234,
33.18152656,0.940852438,34.52602394,0.89616275,33.81601119,0.922615375,33.4710415,0.908391125,Average
